future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
23.360596,60.41232,96.27916,118.33333,143.8962,190.24606,223.1784,253.37686,279.7983,290.64905,279.89725,261.6934
51.756096,100.11474,150.31822,216.75487,250.49927,278.39154,313.58475,377.93387,404.59335,506.6289,583.2865,634.9659
4.3361278,18.76142,36.528374,74.111046,106.6286,125.84426,155.97424,202.02142,270.4744,361.97458,472.99796,571.1567
21.949408,48.507385,61.708683,77.51167,112.051285,106.84311,95.54822,86.68474,80.21704,70.63033,62.928783,61.80065
14.488771,21.36013,26.869703,59.867382,106.10056,145.84848,190.94,217.38078,256.99118,300.276,367.6922,473.59598
14.300203,45.012196,71.28484,70.43233,53.568977,57.032738,74.601234,122.01356,192.00734,229.4463,310.0285,356.64944
2.634603,7.0385294,18.676878,21.401995,21.384254,18.714256,22.874445,41.943344,51.49737,78.1412,113.005875,152.47066
23.010008,50.351826,96.04728,176.49663,221.10847,268.536,326.33795,373.0808,412.09073,449.791,486.04572,513.3645
0.9241142,0.24087606,3.1239958,15.433661,36.850197,63.838013,89.960236,112.97181,135.09544,156.09814,169.03957,185.31802
24.156832,53.32537,75.55073,108.05376,143.1058,176.49074,205.9042,229.92204,235.32265,241.75827,243.78383,245.9158
18.216959,41.16462,76.47526,111.54776,145.14557,176.35727,211.33531,256.6823,319.24136,373.36865,419.3979,456.36414
12.567381,26.73151,41.77008,67.214,106.42264,124.867455,135.86526,143.54895,144.39557,145.66795,146.47694,163.31035
10.563389,21.162582,41.099598,57.55798,78.069786,101.93945,116.298225,132.22922,156.42435,186.81595,215.33595,252.42398
14.677624,31.33182,53.99444,87.84208,118.85406,136.65259,128.89474,112.59067,111.18341,127.01696,152.70207,225.06004
16.022703,36.305984,70.50152,118.40681,188.22227,275.3827,376.69553,494.02197,601.858,672.7818,707.5156,710.55695
21.424688,39.06489,57.72941,88.59552,145.53731,189.93097,248.42339,305.07513,372.05673,436.76517,512.09045,569.2238
1.5185082,22.540363,40.277298,63.70717,83.64701,104.68918,98.97458,94.68019,121.836876,165.59927,223.86574,284.09583
32.85233,64.65649,104.13324,152.68536,229.38736,302.59747,382.90802,469.34634,562.81854,656.3952,682.9392,636.11566
11.331417,29.535074,58.987556,84.94984,109.22324,134.13618,153.63593,163.35283,142.97534,111.89669,83.973114,63.159573
7.4710417,57.717457,99.968315,147.22327,201.28703,247.07062,257.87933,259.0763,215.64088,123.06249,9.235708,133.35562
39.84371,87.29297,115.88201,125.16494,156.05502,239.84944,353.01965,534.7638,735.0422,819.51495,883.57166,953.7509
37.250095,78.0731,119.91582,168.4581,201.39066,217.24779,251.09079,324.77017,395.88882,475.91275,556.2335,654.1308
13.240181,10.881016,7.401354,35.063194,64.80555,102.63787,154.89072,219.13643,309.32117,397.3274,498.37717,607.0027
8.43824,33.727036,62.19145,91.59749,109.01407,144.50612,181.8176,202.66344,222.7819,264.0842,304.61365,349.5567
6.051577,10.6704645,13.244597,28.075413,53.82872,98.80755,155.74997,217.0514,277.27014,333.80862,378.16803,422.06143
13.243472,26.329857,32.054207,39.991867,61.094913,98.22646,129.26752,189.98787,238.18625,290.4564,355.77103,427.34366
21.428213,36.40786,55.114662,101.00783,169.86543,236.49915,299.3433,363.425,455.04776,539.3793,613.2456,685.3177
15.608729,43.157192,75.708,109.5728,105.70997,81.85732,105.07892,105.76952,85.628494,34.47856,17.618164,58.54034
10.613564,32.132942,57.142563,86.493454,119.098305,151.01176,184.93355,217.43367,249.7129,281.2739,303.4233,328.55173
2.4267974,12.50987,38.880512,78.60699,131.10992,167.25719,212.25737,280.2043,353.59982,430.8583,514.13055,592.79395
14.240006,12.689448,19.049341,27.74153,48.325344,68.78216,113.52845,250.45091,389.53107,520.5841,689.3806,917.49646
21.451393,56.7277,81.300705,113.776024,131.50418,149.84311,159.97536,181.51717,195.50385,185.4907,226.26231,264.9591
22.368435,59.04736,111.926254,163.36028,208.9513,269.54895,363.8398,467.0251,560.64874,638.89355,681.2292,674.0451
38.65943,12.826335,63.759296,112.527214,147.84789,174.51071,211.32954,249.81517,295.0734,331.7894,368.03036,396.3605
13.918451,37.147602,94.14726,179.46501,279.5893,350.28583,399.51984,469.667,533.15295,586.6612,626.90594,683.82526
5.0833464,10.070252,15.807879,27.190796,42.29176,60.082836,87.02424,114.1568,146.3532,183.39827,226.47296,270.45172
41.151585,66.350685,161.16673,324.6694,439.1319,449.3344,471.34845,511.13574,548.75244,592.79535,635.08405,677.5115
11.798499,44.638966,81.36249,101.69971,141.04129,189.50455,241.94603,300.22638,378.60446,476.56738,559.8316,642.46533
13.948194,42.415302,71.48854,115.58188,166.5069,255.82053,338.5965,431.81396,534.45404,637.6677,740.54486,770.39557
9.273431,12.9458275,27.246103,27.473131,125.043015,250.69337,309.98184,364.87222,421.8493,492.5599,598.3051,698.90985
26.031427,13.99734,30.153713,77.25089,130.04417,198.37143,263.0584,343.97244,517.0688,678.0417,841.1134,976.512
22.313116,47.762337,88.53733,144.50546,209.41486,280.8457,372.17117,462.826,562.8114,668.55896,781.0564,896.11786
2.7671974,37.760426,103.776344,212.12285,336.8332,484.7866,607.6789,689.56976,706.3988,677.81036,644.2018,604.786
11.326983,23.250685,38.88998,49.45162,59.031322,70.18783,61.44048,70.05515,121.39832,179.72177,222.23952,243.77066
0.3691785,16.273567,38.019783,61.31887,89.63304,118.53286,148.48189,179.11153,215.48424,247.76031,304.07672,371.81717
10.646878,27.211733,67.73428,113.653175,181.10527,275.80554,357.42252,403.23395,432.1393,442.26883,450.47772,484.06717
10.661236,20.178087,32.850914,39.27953,48.97604,40.663456,21.551044,3.8202455,35.25154,70.079056,94.91391,112.71055
12.647758,25.140886,58.586063,103.05755,174.06621,244.73692,329.9916,422.4477,510.70322,581.0461,655.355,720.9163
15.452457,45.463005,83.46493,119.89944,154.65071,194.78917,243.65134,309.56116,375.5101,443.23676,518.00006,586.519
